0.00.001.348 I srv  llama_server: initializing ...
0.00.191.513 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.193.569 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.196.295 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-4B-Q8_0.gguf'
0.13.552.389 I cmn          init: llama threadpool init, n_threads = 6
0.13.909.139 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.13.980.195 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.13.980.741 I srv  llama_server: model loaded
0.13.980.756 I srv  llama_server: listening on http://127.0.0.1:8080
0.13.980.756 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.19.284.764 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.19.285.917 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.22.976.102 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2369, progress = 0.48, t =   3.69 s / 641.99 tokens per second
0.23.772.142 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2881, progress = 0.59, t =   4.49 s / 642.20 tokens per second
0.24.578.695 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3393, progress = 0.69, t =   5.29 s / 641.07 tokens per second
0.25.389.433 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3905, progress = 0.79, t =   6.10 s / 639.80 tokens per second
0.26.207.145 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4417, progress = 0.90, t =   6.92 s / 638.19 tokens per second
0.26.822.333 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4782, progress = 0.97, t =   7.54 s / 634.53 tokens per second
0.27.022.565 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4854, progress = 0.99, t =   7.74 s / 627.41 tokens per second
0.27.182.246 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4910, progress = 1.00, t =   7.90 s / 621.81 tokens per second
0.30.354.643 I slot print_timing: id  0 | task 1 | prompt eval time =    8128.13 ms /  4914 tokens (    1.65 ms per token,   604.57 tokens per second)
0.30.354.659 I slot print_timing: id  0 | task 1 |        eval time =    2940.50 ms /    37 tokens (   81.68 ms per token,    12.24 tokens per second)
0.30.354.662 I slot print_timing: id  0 | task 1 |       total time =   11068.64 ms /  4951 tokens
0.30.354.675 I slot print_timing: id  0 | task 1 |    graphs reused =         53
0.30.355.447 I slot      release: id  0 | task 1 | stop processing: n_tokens = 4950, truncated = 0
0.30.529.497 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.967 (> 0.100 thold), f_keep = 1.000
0.30.529.955 I slot launch_slot_: id  0 | task 51 | processing task, is_child = 0
0.39.041.848 I slot print_timing: id  0 | task 51 | n_gen =    100, tg =  12.30 t/s, tg_3s =  12.42 t/s
0.42.042.849 I slot print_timing: id  0 | task 51 | n_gen =    137, tg =  12.31 t/s, tg_3s =  12.33 t/s
0.45.056.040 I slot print_timing: id  0 | task 51 | n_gen =    174, tg =  12.30 t/s, tg_3s =  12.28 t/s
0.48.069.206 I slot print_timing: id  0 | task 51 | n_gen =    211, tg =  12.30 t/s, tg_3s =  12.28 t/s
0.51.083.451 I slot print_timing: id  0 | task 51 | n_gen =    248, tg =  12.29 t/s, tg_3s =  12.28 t/s
0.54.121.760 I slot print_timing: id  0 | task 51 | n_gen =    285, tg =  12.28 t/s, tg_3s =  12.18 t/s
0.57.148.568 I slot print_timing: id  0 | task 51 | n_gen =    322, tg =  12.27 t/s, tg_3s =  12.22 t/s
1.00.181.987 I slot print_timing: id  0 | task 51 | n_gen =    359, tg =  12.26 t/s, tg_3s =  12.20 t/s
1.03.218.198 I slot print_timing: id  0 | task 51 | n_gen =    396, tg =  12.26 t/s, tg_3s =  12.19 t/s
1.06.245.632 I slot print_timing: id  0 | task 51 | n_gen =    433, tg =  12.25 t/s, tg_3s =  12.22 t/s
1.09.261.956 I slot print_timing: id  0 | task 51 | n_gen =    470, tg =  12.25 t/s, tg_3s =  12.27 t/s
1.12.284.087 I slot print_timing: id  0 | task 51 | n_gen =    507, tg =  12.25 t/s, tg_3s =  12.24 t/s
1.15.326.066 I slot print_timing: id  0 | task 51 | n_gen =    544, tg =  12.25 t/s, tg_3s =  12.16 t/s
1.18.358.831 I slot print_timing: id  0 | task 51 | n_gen =    581, tg =  12.24 t/s, tg_3s =  12.20 t/s
1.21.390.022 I slot print_timing: id  0 | task 51 | n_gen =    618, tg =  12.24 t/s, tg_3s =  12.21 t/s
1.24.421.869 I slot print_timing: id  0 | task 51 | n_gen =    655, tg =  12.24 t/s, tg_3s =  12.20 t/s
1.27.452.238 I slot print_timing: id  0 | task 51 | n_gen =    692, tg =  12.24 t/s, tg_3s =  12.21 t/s
1.30.486.081 I slot print_timing: id  0 | task 51 | n_gen =    729, tg =  12.24 t/s, tg_3s =  12.20 t/s
1.33.515.435 I slot print_timing: id  0 | task 51 | n_gen =    766, tg =  12.24 t/s, tg_3s =  12.21 t/s
1.36.574.832 I slot print_timing: id  0 | task 51 | n_gen =    803, tg =  12.23 t/s, tg_3s =  12.09 t/s
1.39.621.200 I slot print_timing: id  0 | task 51 | n_gen =    840, tg =  12.22 t/s, tg_3s =  12.15 t/s
1.42.674.374 I slot print_timing: id  0 | task 51 | n_gen =    877, tg =  12.22 t/s, tg_3s =  12.12 t/s
1.45.730.509 I slot print_timing: id  0 | task 51 | n_gen =    914, tg =  12.22 t/s, tg_3s =  12.11 t/s
1.48.779.162 I slot print_timing: id  0 | task 51 | n_gen =    951, tg =  12.21 t/s, tg_3s =  12.14 t/s
1.51.831.486 I slot print_timing: id  0 | task 51 | n_gen =    988, tg =  12.21 t/s, tg_3s =  12.12 t/s
1.54.879.071 I slot print_timing: id  0 | task 51 | n_gen =   1025, tg =  12.21 t/s, tg_3s =  12.14 t/s
1.57.954.344 I slot print_timing: id  0 | task 51 | n_gen =   1062, tg =  12.20 t/s, tg_3s =  12.03 t/s
2.01.016.523 I slot print_timing: id  0 | task 51 | n_gen =   1099, tg =  12.20 t/s, tg_3s =  12.08 t/s
2.04.075.328 I slot print_timing: id  0 | task 51 | n_gen =   1136, tg =  12.19 t/s, tg_3s =  12.10 t/s
2.07.132.566 I slot print_timing: id  0 | task 51 | n_gen =   1173, tg =  12.19 t/s, tg_3s =  12.10 t/s
2.10.193.591 I slot print_timing: id  0 | task 51 | n_gen =   1210, tg =  12.19 t/s, tg_3s =  12.09 t/s
2.13.254.730 I slot print_timing: id  0 | task 51 | n_gen =   1247, tg =  12.18 t/s, tg_3s =  12.09 t/s
2.16.326.137 I slot print_timing: id  0 | task 51 | n_gen =   1284, tg =  12.18 t/s, tg_3s =  12.05 t/s
2.19.405.758 I slot print_timing: id  0 | task 51 | n_gen =   1321, tg =  12.18 t/s, tg_3s =  12.01 t/s
2.22.406.786 I slot print_timing: id  0 | task 51 | n_gen =   1357, tg =  12.17 t/s, tg_3s =  12.00 t/s
2.25.481.474 I slot print_timing: id  0 | task 51 | n_gen =   1394, tg =  12.17 t/s, tg_3s =  12.03 t/s
2.28.558.068 I slot print_timing: id  0 | task 51 | n_gen =   1431, tg =  12.16 t/s, tg_3s =  12.03 t/s
2.31.630.544 I slot print_timing: id  0 | task 51 | n_gen =   1468, tg =  12.16 t/s, tg_3s =  12.04 t/s
2.34.708.948 I slot print_timing: id  0 | task 51 | n_gen =   1505, tg =  12.16 t/s, tg_3s =  12.02 t/s
