0.00.001.210 I srv  llama_server: initializing ...
0.00.149.433 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.151.389 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.153.911 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-4B-Q8_0.gguf'
0.08.856.546 I cmn          init: llama threadpool init, n_threads = 6
0.09.177.604 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.09.243.964 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.09.244.092 I srv  llama_server: model loaded
0.09.244.116 I srv  llama_server: listening on http://127.0.0.1:8080
0.09.244.118 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.13.276.125 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.13.277.181 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.16.935.806 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2369, progress = 0.09, t =   3.66 s / 647.53 tokens per second
0.17.725.911 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2881, progress = 0.11, t =   4.45 s / 647.61 tokens per second
0.18.525.132 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3393, progress = 0.13, t =   5.25 s / 646.55 tokens per second
0.19.330.992 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3905, progress = 0.14, t =   6.05 s / 645.06 tokens per second
0.20.143.644 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4417, progress = 0.16, t =   6.87 s / 643.28 tokens per second
0.20.966.551 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4929, progress = 0.18, t =   7.69 s / 641.02 tokens per second
0.21.796.043 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5441, progress = 0.20, t =   8.52 s / 638.71 tokens per second
0.22.636.816 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5953, progress = 0.22, t =   9.36 s / 636.04 tokens per second
0.23.487.983 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6465, progress = 0.24, t =  10.21 s / 633.16 tokens per second
0.24.347.690 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6977, progress = 0.26, t =  11.07 s / 630.24 tokens per second
0.25.213.854 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7489, progress = 0.28, t =  11.94 s / 627.40 tokens per second
0.26.085.935 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8001, progress = 0.30, t =  12.81 s / 624.66 tokens per second
0.26.967.300 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8513, progress = 0.31, t =  13.69 s / 621.84 tokens per second
0.27.859.001 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9025, progress = 0.33, t =  14.58 s / 618.93 tokens per second
0.28.751.484 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9537, progress = 0.35, t =  15.47 s / 616.32 tokens per second
0.29.653.203 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10049, progress = 0.37, t =  16.38 s / 613.64 tokens per second
0.30.561.845 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10561, progress = 0.39, t =  17.28 s / 611.01 tokens per second
0.30.759.804 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10582, progress = 0.39, t =  17.48 s / 605.29 tokens per second
0.31.593.191 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11094, progress = 0.41, t =  18.32 s / 605.70 tokens per second
0.32.516.201 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11606, progress = 0.43, t =  19.24 s / 603.26 tokens per second
0.33.450.444 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12118, progress = 0.45, t =  20.17 s / 600.70 tokens per second
0.34.393.114 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12630, progress = 0.47, t =  21.12 s / 598.13 tokens per second
0.35.342.781 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13142, progress = 0.49, t =  22.07 s / 595.59 tokens per second
