0.00.001.421 I srv  llama_server: initializing ...
0.00.241.810 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.244.224 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.246.877 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.10.914.857 I cmn          init: llama threadpool init, n_threads = 6
0.11.278.696 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.11.307.487 I srv  llama_server: model loaded
0.11.307.510 I srv  llama_server: listening on http://127.0.0.1:8080
0.11.307.511 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.14.573.349 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.14.573.524 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.17.953.371 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1598, progress = 0.62, t =   3.38 s / 472.81 tokens per second
0.19.064.372 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2110, progress = 0.82, t =   4.49 s / 469.85 tokens per second
0.19.873.255 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2433, progress = 0.95, t =   5.30 s / 459.09 tokens per second
0.20.098.861 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2561, progress = 1.00, t =   5.53 s / 463.51 tokens per second
0.26.890.564 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  15.24 t/s, tg_3s =  15.40 t/s
0.29.949.921 I slot print_timing: id  0 | task 1 | n_gen =    147, tg =  15.28 t/s, tg_3s =  15.36 t/s
0.32.953.677 I slot print_timing: id  0 | task 1 | n_gen =    193, tg =  15.29 t/s, tg_3s =  15.31 t/s
0.36.012.075 I slot print_timing: id  0 | task 1 | n_gen =    240, tg =  15.30 t/s, tg_3s =  15.37 t/s
0.39.028.843 I slot print_timing: id  0 | task 1 | n_gen =    286, tg =  15.30 t/s, tg_3s =  15.25 t/s
0.42.035.713 I slot print_timing: id  0 | task 1 | n_gen =    332, tg =  15.30 t/s, tg_3s =  15.30 t/s
0.45.043.482 I slot print_timing: id  0 | task 1 | n_gen =    378, tg =  15.30 t/s, tg_3s =  15.29 t/s
0.48.045.327 I slot print_timing: id  0 | task 1 | n_gen =    424, tg =  15.30 t/s, tg_3s =  15.32 t/s
0.51.104.294 I slot print_timing: id  0 | task 1 | n_gen =    471, tg =  15.31 t/s, tg_3s =  15.36 t/s
0.54.117.237 I slot print_timing: id  0 | task 1 | n_gen =    517, tg =  15.30 t/s, tg_3s =  15.27 t/s
0.57.120.627 I slot print_timing: id  0 | task 1 | n_gen =    563, tg =  15.30 t/s, tg_3s =  15.32 t/s
1.00.125.096 I slot print_timing: id  0 | task 1 | n_gen =    609, tg =  15.30 t/s, tg_3s =  15.31 t/s
1.03.130.070 I slot print_timing: id  0 | task 1 | n_gen =    655, tg =  15.30 t/s, tg_3s =  15.31 t/s
1.06.135.857 I slot print_timing: id  0 | task 1 | n_gen =    701, tg =  15.30 t/s, tg_3s =  15.30 t/s
1.09.150.957 I slot print_timing: id  0 | task 1 | n_gen =    747, tg =  15.30 t/s, tg_3s =  15.26 t/s
1.12.175.689 I slot print_timing: id  0 | task 1 | n_gen =    793, tg =  15.30 t/s, tg_3s =  15.21 t/s
1.15.197.103 I slot print_timing: id  0 | task 1 | n_gen =    839, tg =  15.29 t/s, tg_3s =  15.22 t/s
1.18.217.938 I slot print_timing: id  0 | task 1 | n_gen =    885, tg =  15.29 t/s, tg_3s =  15.23 t/s
1.21.237.991 I slot print_timing: id  0 | task 1 | n_gen =    931, tg =  15.29 t/s, tg_3s =  15.23 t/s
1.24.260.719 I slot print_timing: id  0 | task 1 | n_gen =    977, tg =  15.28 t/s, tg_3s =  15.22 t/s
1.27.300.319 I slot print_timing: id  0 | task 1 | n_gen =   1023, tg =  15.28 t/s, tg_3s =  15.13 t/s
1.30.329.827 I slot print_timing: id  0 | task 1 | n_gen =   1069, tg =  15.27 t/s, tg_3s =  15.18 t/s
1.33.360.092 I slot print_timing: id  0 | task 1 | n_gen =   1115, tg =  15.27 t/s, tg_3s =  15.18 t/s
1.36.394.031 I slot print_timing: id  0 | task 1 | n_gen =   1161, tg =  15.26 t/s, tg_3s =  15.16 t/s
1.38.439.351 I slot print_timing: id  0 | task 1 | prompt eval time =    5822.40 ms /  2565 tokens (    2.27 ms per token,   440.54 tokens per second)
1.38.439.364 I slot print_timing: id  0 | task 1 |        eval time =   78043.34 ms /  1192 tokens (   65.53 ms per token,    15.26 tokens per second)
1.38.439.367 I slot print_timing: id  0 | task 1 |       total time =   83865.74 ms /  3757 tokens
1.38.439.376 I slot print_timing: id  0 | task 1 |    graphs reused =       1195
1.38.439.845 I slot      release: id  0 | task 1 | stop processing: n_tokens = 3756, truncated = 0
1.38.692.753 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 143672160133
1.38.838.069 I slot launch_slot_: id  0 | task 1201 | processing task, is_child = 0
1.41.960.228 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   1494, progress = 0.06, t =   3.12 s / 478.53 tokens per second
1.42.964.066 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   2006, progress = 0.08, t =   4.13 s / 486.20 tokens per second
1.44.080.096 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   2518, progress = 0.11, t =   5.24 s / 480.36 tokens per second
1.45.201.285 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   3030, progress = 0.13, t =   6.36 s / 476.18 tokens per second
1.46.329.308 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   3542, progress = 0.15, t =   7.49 s / 472.82 tokens per second
1.47.466.067 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   4054, progress = 0.17, t =   8.63 s / 469.87 tokens per second
1.48.610.895 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   4566, progress = 0.19, t =   9.77 s / 467.22 tokens per second
1.49.759.570 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   5078, progress = 0.21, t =  10.92 s / 464.96 tokens per second
1.50.915.111 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   5590, progress = 0.23, t =  12.08 s / 462.86 tokens per second
1.52.086.671 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   6102, progress = 0.26, t =  13.25 s / 460.58 tokens per second
1.53.260.009 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   6614, progress = 0.28, t =  14.42 s / 458.61 tokens per second
1.54.442.476 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   7126, progress = 0.30, t =  15.60 s / 456.67 tokens per second
1.55.628.628 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   7638, progress = 0.32, t =  16.79 s / 454.90 tokens per second
1.56.824.026 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   8150, progress = 0.34, t =  17.99 s / 453.13 tokens per second
1.58.025.140 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   8662, progress = 0.36, t =  19.19 s / 451.45 tokens per second
1.59.230.406 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   9174, progress = 0.38, t =  20.39 s / 449.88 tokens per second
2.00.447.330 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =   9686, progress = 0.41, t =  21.61 s / 448.24 tokens per second
2.01.669.366 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  10198, progress = 0.43, t =  22.83 s / 446.67 tokens per second
2.02.900.112 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  10710, progress = 0.45, t =  24.06 s / 445.10 tokens per second
2.04.134.130 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  11222, progress = 0.47, t =  25.30 s / 443.63 tokens per second
2.05.373.529 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  11734, progress = 0.49, t =  26.54 s / 442.20 tokens per second
2.06.625.727 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  12246, progress = 0.51, t =  27.79 s / 440.70 tokens per second
2.07.885.487 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  12758, progress = 0.54, t =  29.05 s / 439.21 tokens per second
2.09.151.498 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  13270, progress = 0.56, t =  30.31 s / 437.76 tokens per second
2.10.422.731 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  13782, progress = 0.58, t =  31.58 s / 436.35 tokens per second
2.11.701.482 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  14294, progress = 0.60, t =  32.86 s / 434.95 tokens per second
2.12.985.924 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  14806, progress = 0.62, t =  34.15 s / 433.59 tokens per second
2.14.028.692 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  15162, progress = 0.64, t =  35.19 s / 430.85 tokens per second
2.15.310.701 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  15674, progress = 0.66, t =  36.47 s / 429.75 tokens per second
2.16.611.607 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  16186, progress = 0.68, t =  37.77 s / 428.50 tokens per second
2.17.920.303 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  16698, progress = 0.70, t =  39.08 s / 427.25 tokens per second
2.19.236.946 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  17210, progress = 0.72, t =  40.40 s / 426.00 tokens per second
2.20.559.838 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  17722, progress = 0.74, t =  41.72 s / 424.77 tokens per second
2.21.891.463 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  18234, progress = 0.76, t =  43.05 s / 423.52 tokens per second
2.23.226.989 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  18746, progress = 0.79, t =  44.39 s / 422.31 tokens per second
2.24.571.080 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  19258, progress = 0.81, t =  45.73 s / 421.10 tokens per second
2.25.922.743 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  19770, progress = 0.83, t =  47.08 s / 419.88 tokens per second
2.27.281.546 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  20282, progress = 0.85, t =  48.44 s / 418.67 tokens per second
2.28.647.365 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  20794, progress = 0.87, t =  49.81 s / 417.47 tokens per second
2.30.020.639 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  21306, progress = 0.89, t =  51.18 s / 416.28 tokens per second
2.31.397.496 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  21818, progress = 0.92, t =  52.56 s / 415.11 tokens per second
2.32.782.193 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  22330, progress = 0.94, t =  53.94 s / 413.95 tokens per second
2.34.174.282 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  22842, progress = 0.96, t =  55.34 s / 412.79 tokens per second
2.35.572.864 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  23354, progress = 0.98, t =  56.73 s / 411.64 tokens per second
2.36.612.779 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  23711, progress = 0.99, t =  57.77 s / 410.41 tokens per second
2.36.929.028 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  23804, progress = 1.00, t =  58.09 s / 409.77 tokens per second
2.37.192.860 I slot print_timing: id  0 | task 1201 | prompt processing, n_tokens =  23839, progress = 1.00, t =  58.35 s / 408.52 tokens per second
2.43.300.598 I slot print_timing: id  0 | task 1201 | prompt eval time =   58593.74 ms / 23843 tokens (    2.46 ms per token,   406.92 tokens per second)
2.43.300.609 I slot print_timing: id  0 | task 1201 |        eval time =    5868.71 ms /    70 tokens (   85.05 ms per token,    11.76 tokens per second)
2.43.300.612 I slot print_timing: id  0 | task 1201 |       total time =   64462.46 ms / 23913 tokens
2.43.300.615 I slot print_timing: id  0 | task 1201 |    graphs reused =       1352
2.43.302.890 I slot      release: id  0 | task 1201 | stop processing: n_tokens = 23912, truncated = 0
2.44.054.312 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 1.000
2.44.055.227 I slot launch_slot_: id  0 | task 1321 | processing task, is_child = 0
2.53.240.986 I slot print_timing: id  0 | task 1321 | n_gen =    100, tg =  11.76 t/s, tg_3s =  11.88 t/s
2.56.294.156 I slot print_timing: id  0 | task 1321 | n_gen =    136, tg =  11.77 t/s, tg_3s =  11.79 t/s
2.59.353.046 I slot print_timing: id  0 | task 1321 | n_gen =    172, tg =  11.77 t/s, tg_3s =  11.77 t/s
3.02.408.219 I slot print_timing: id  0 | task 1321 | n_gen =    208, tg =  11.77 t/s, tg_3s =  11.78 t/s
3.05.475.694 I slot print_timing: id  0 | task 1321 | n_gen =    244, tg =  11.77 t/s, tg_3s =  11.74 t/s
3.08.534.921 I slot print_timing: id  0 | task 1321 | n_gen =    280, tg =  11.77 t/s, tg_3s =  11.77 t/s
3.11.594.459 I slot print_timing: id  0 | task 1321 | n_gen =    316, tg =  11.77 t/s, tg_3s =  11.77 t/s
3.14.652.576 I slot print_timing: id  0 | task 1321 | n_gen =    352, tg =  11.77 t/s, tg_3s =  11.77 t/s
3.17.715.314 I slot print_timing: id  0 | task 1321 | n_gen =    388, tg =  11.77 t/s, tg_3s =  11.75 t/s
3.20.787.115 I slot print_timing: id  0 | task 1321 | n_gen =    424, tg =  11.76 t/s, tg_3s =  11.72 t/s
3.23.854.923 I slot print_timing: id  0 | task 1321 | n_gen =    460, tg =  11.76 t/s, tg_3s =  11.73 t/s
3.26.858.272 I slot print_timing: id  0 | task 1321 | n_gen =    495, tg =  11.75 t/s, tg_3s =  11.65 t/s
3.29.928.117 I slot print_timing: id  0 | task 1321 | n_gen =    531, tg =  11.75 t/s, tg_3s =  11.73 t/s
3.32.998.889 I slot print_timing: id  0 | task 1321 | n_gen =    567, tg =  11.75 t/s, tg_3s =  11.72 t/s
3.36.064.261 I slot print_timing: id  0 | task 1321 | n_gen =    603, tg =  11.75 t/s, tg_3s =  11.74 t/s
3.39.127.699 I slot print_timing: id  0 | task 1321 | n_gen =    639, tg =  11.75 t/s, tg_3s =  11.75 t/s
3.42.197.177 I slot print_timing: id  0 | task 1321 | n_gen =    675, tg =  11.75 t/s, tg_3s =  11.73 t/s
3.45.273.942 I slot print_timing: id  0 | task 1321 | n_gen =    711, tg =  11.75 t/s, tg_3s =  11.70 t/s
3.48.284.723 I slot print_timing: id  0 | task 1321 | n_gen =    746, tg =  11.74 t/s, tg_3s =  11.62 t/s
3.51.368.496 I slot print_timing: id  0 | task 1321 | n_gen =    782, tg =  11.74 t/s, tg_3s =  11.67 t/s
3.54.446.995 I slot print_timing: id  0 | task 1321 | n_gen =    818, tg =  11.73 t/s, tg_3s =  11.69 t/s
3.57.526.341 I slot print_timing: id  0 | task 1321 | n_gen =    854, tg =  11.73 t/s, tg_3s =  11.69 t/s
4.00.604.176 I slot print_timing: id  0 | task 1321 | n_gen =    890, tg =  11.73 t/s, tg_3s =  11.70 t/s
4.03.680.645 I slot print_timing: id  0 | task 1321 | n_gen =    926, tg =  11.73 t/s, tg_3s =  11.70 t/s
4.06.760.428 I slot print_timing: id  0 | task 1321 | n_gen =    962, tg =  11.73 t/s, tg_3s =  11.69 t/s
4.09.775.791 I slot print_timing: id  0 | task 1321 | n_gen =    997, tg =  11.72 t/s, tg_3s =  11.61 t/s
4.12.787.256 I slot print_timing: id  0 | task 1321 | n_gen =   1032, tg =  11.72 t/s, tg_3s =  11.62 t/s
4.15.791.842 I slot print_timing: id  0 | task 1321 | n_gen =   1067, tg =  11.72 t/s, tg_3s =  11.65 t/s
